http://fx.sauder.ubc.ca/data.html
"PACIFIC Exchange Rate Service"
"MMM YYYY","NLG/USD","XCD/USD","EGP/USD","EEK/USD","EUR/USD","FJD/USD","FIM/USD","FRF/USD","XAF/USD","XPF/USD","DEM/USD","GHS/USD","XAU/USD","GRD/USD","HNL/USD","HKD/USD","HUF/USD","ISK/USD","INR/USD","IDR/USD"
"Oct 1975",,,,,,,,4.4068,,,2.5817,,,,,,,,,
"Nov 1975",,,,,,,,4.4087,,,2.5896,,,,,,,,,
"Dec 1975",,,,,,,,4.4587,,,2.6217,,,,,,,,,
"Jan 1976",,,,,,,,4.4765,,,2.6025,,,,,,,,,
"Feb 1976",,,,,,,,4.4743,,,2.5619,,,,,,,,,
"Mar 1976",,,,,,,,4.6190,,,2.5600,,,,,,,,,
"Apr 1976",,,,,,,,4.6705,,,2.5380,,,,,,,,,
"May 1976",,,,,,,,4.7013,,,2.5620,,,,,,,,,
"Jun 1976",,,,,,,,4.7374,,,2.5775,,,,,,,,,
"Jul 1976",,,,,,,,4.8436,,,2.5745,,,,,,,,,
"Aug 1976",,,,,,,,4.9676,,,2.5292,,,,,,,,,
"Sep 1976",,,,,,,,4.9179,,,2.4898,,,,,,,,,
"Oct 1976",,,,,,,,4.9821,,,2.4294,,,,,,,,,
"Nov 1976",,,,,,,,4.9896,,,2.4130,,,,,,,,,
"Dec 1976",,,,,,,,4.9864,,,2.3831,,,,,,,,,
"Jan 1977",,,,,,,,4.9733,,,2.3931,,,,,,,,,
"Feb 1977",,,,,,,,4.9793,,,2.4049,,,,,,,,,
"Mar 1977",,,,,,,,4.9814,,,2.3917,,,,,,,,,
"Apr 1977",,,,,,,,4.9670,,,2.3743,,,,,,,,,
"May 1977",,,,,,,,4.9531,,,2.3589,,,,,,,,,
"Jun 1977",,,,,,,,4.9407,,,2.3556,,,,,,,,,
"Jul 1977",,,,,,,,4.8530,,,2.2820,,,,,,,,,
"Aug 1977",,,,,,,,4.8985,,,2.3166,,,,,,,,,
"Sep 1977",,,,,,,,4.9227,,,2.3238,,,,,,,,,
"Oct 1977",,,,,,,,4.8606,,,2.2778,,,,,,,,,
"Nov 1977",,,,,,,,4.8511,,,2.2406,,,,,,,,,
"Dec 1977",,,,,,,,4.7982,,,2.1510,,,,,,,,,
"Jan 1978",,,,,,,,4.7182,,,2.1179,,,,,,,,,
"Feb 1978",,,,,,,,4.8482,,,2.0777,,,,,,,,,
"Mar 1978",,,,,,,,4.7059,,,2.0334,,,,,,,,,
"Apr 1978",,,,,,,,4.5867,,,2.0427,,,,,,,,,
"May 1978",,,,,,,,4.6485,,,2.1056,,,,,,,,,
"Jun 1978",,,,,,,,4.5787,,,2.0841,,,,,,,,,
"Jul 1978",,,,,,,,4.4386,,,2.0557,,,,,,,,,
"Aug 1978",,,,,,,,4.3487,,,1.9970,,,,,,,,,
"Sep 1978",,,,,,,,4.3650,,,1.9696,,,,,,,,,
"Oct 1978",,,,,,,,4.2098,,,1.8391,,,,,,,,,
"Nov 1978",,,,,,,,4.3567,,,1.9048,,,,,,,,,
"Dec 1978",,,,,,,,4.3162,,,1.8798,,,,,,,,,
"Jan 1979",,,,,,,,4.2428,,,1.8500,,,,,,,,,
"Feb 1979",,,,,,,,4.2745,,,1.8566,,,,,,,,,
"Mar 1979",,,,,,,,4.2868,,,1.8603,,,,,,,,,
"Apr 1979",,,,,,,,4.3541,,,1.8960,,,,,,,,,
"May 1979",,,,,,,,4.4072,,,1.9076,,,,,,,,,
"Jun 1979",,,,,,,,4.3650,,,1.8843,,,,,,,,,
"Jul 1979",,,,,,,,4.2492,,,1.8243,,,,,,,,,
"Aug 1979",,,,,,,,4.2571,,,1.8293,,,,,,,,,
"Sep 1979",,,,,,,,4.1976,,,1.7939,,,,,,,,,
"Oct 1979",,,,,,,,4.2006,,,1.7897,,,,,,,,,
"Nov 1979",,,,,,,,4.1558,,,1.7711,,,,,,,,,
"Dec 1979",,,,,,,,4.0629,,,1.7340,,,,,,,,,
"Jan 1980",,,,,,,,4.0405,,,1.7246,,,,,,,,,
"Feb 1980",,,,,,,,4.0962,,,1.7482,,,,,,,,,
"Mar 1980",,,,,,,,4.3148,,,1.8519,,,,,,,,,
"Apr 1980",,,,,,,,4.3536,,,1.8776,,,,,,,,,
"May 1980",,,,,,,,4.1808,,,1.7913,,,,,,,,,
"Jun 1980",,,,,,,,4.1135,,,1.7673,,,,,,,,,
"Jul 1980",,,,,,,,4.0557,,,1.7470,,,,,,,,,
"Aug 1980",,,,,,,,4.1485,,,1.7900,,,,,,,,,
"Sep 1980",,,,,,,,4.1571,,,1.7896,,,,,,,,,
"Oct 1980",,,,,,,,4.2584,,,1.8429,,,,,,,,,
"Nov 1980",,,,,,,,4.4418,,,1.9190,,,,,,,,,
"Dec 1980",,,,,,,,4.5617,,,1.9700,,,,,,,,,
"Jan 1981",,,,,,,,4.6453,,,2.0105,,,,,5.1825,,,,
"Feb 1981",,,,,,,,4.9655,,,2.1392,,,,,5.3012,,,,
"Mar 1981",,,,,,,,4.9645,,,2.1057,,,,,5.3013,,,,
"Apr 1981",,,,,,,,5.1168,,,2.1640,,,,,5.3575,,,,
"May 1981",,,,,,,,5.4889,,,2.2941,,,,,5.4473,,,,
"Jun 1981",,,,,,,,5.6569,,,2.3781,,,,,5.5147,,,,
"Jul 1981",,,,,,,,5.7965,,,2.4406,,,,,5.7037,,,,
"Aug 1981",,,,,,,,5.9818,,,2.5012,,,,,5.9383,,,,
"Sep 1981",,,,,,,,5.6326,,,2.3522,,,,,6.0259,,,,
"Oct 1981",,,,,,,,5.6313,,,2.2543,,,,,5.9868,,,,
"Nov 1981",,,,,,,,5.6240,,,2.2292,,,,,5.6681,,,,
"Dec 1981",,,,,,,,5.7140,,,2.2578,,,,,5.6328,,,,
"Jan 1982",,,,,,,,5.8298,,,2.2938,,,,,5.7959,,,,
"Feb 1982",,,,,,,,6.0176,,,2.3660,,,,,5.8857,,,,
"Mar 1982",,,,,,,,6.1427,,,2.3799,,,,,5.8298,,,,
"Apr 1982",,,,,,,,6.2457,,,2.3970,,,,,5.8270,,,,
"May 1982",,,,,,,,6.0236,,,2.3127,,,,,5.7549,,,,
"Jun 1982",,,,,,,,6.5784,,,2.4292,,,,,5.8668,,,,
"Jul 1982",,,,,,,,6.8560,,,2.4662,,,,,5.9025,,,,
"Aug 1982",,,,,,,,6.9285,,,2.4813,,,,,6.0598,,,,
"Sep 1982",,,,,,,,7.0650,,,2.5055,,,,,6.1253,,,,
"Oct 1982",,,,,,,,7.1557,,,2.5320,,,,,6.6038,,,,
"Nov 1982",,,,,,,,7.2152,,,2.5543,,,,,6.6724,,,,
"Dec 1982",,,,,,,,6.8548,,,2.4193,,,,,6.5418,,,,
"Jan 1983",,,,,,,,6.7725,,,2.3893,,,,,6.5252,,,,
"Feb 1983",,,,,,,,6.8855,,,2.4280,,,,,6.6060,,,,
"Mar 1983",,,,,,,,7.0205,,,2.4110,,,,,6.6536,,,,
"Apr 1983",,,,,,,,7.3149,,,2.4398,,,,,6.7868,,,,
"May 1983",,,,,,,,7.4163,,,2.4665,,,,,6.9668,,,,
"Jun 1983",,,,,,,,7.6621,,,2.5490,,,,,7.2822,,,,
"Jul 1983",,,,,,,,7.7878,,,2.5914,,,,,7.1678,,,,
"Aug 1983",,,,,,,,8.0441,,,2.6736,,,,,7.4416,,,,
"Sep 1983",,,,,,,,8.0597,,,2.6679,,,,,8.0078,,,,
"Oct 1983",,,,,,,,7.9526,,,2.6032,,,,,8.0948,,,,
"Nov 1983",,,,,,,,8.1645,,,2.6845,,,,,7.8120,,,,
"Dec 1983",,,,,,,,8.3839,,,2.7500,,,,,7.8044,,,,
"Jan 1984",,,,,,,,8.5949,,,2.8110,,,,,7.7969,,,,
"Feb 1984",,,,,,,,8.3051,,,2.6984,,,,,7.7883,,,,
"Mar 1984",,,,,,,,8.0022,,,2.5973,,,,,7.7943,,,,
"Apr 1984",,,,,,,,8.1412,,,2.6474,,,,,7.8074,,,,
"May 1984",,,,,,,,8.4435,,,2.7485,,,,,7.8159,,,,
"Jun 1984",,,,,,,,8.4182,,,2.7398,,,,,7.8131,,,,
"Jul 1984",,,,,,,,8.7438,,,2.8492,,,,,7.8519,,,,
"Aug 1984",,,,,,,,8.8566,,,2.8856,,,,,7.8387,,,,
"Sep 1984",,,,,,,,9.3043,,,3.0314,,,,,7.8432,,,,
"Oct 1984",,,,,,,,9.4106,,,3.0677,,,,,7.8240,,,,
"Nov 1984",,,,,,,,9.1981,,,2.9985,,,,,7.8235,,,,
"Dec 1984",,,,,,,,9.5082,,,3.1044,,,,,7.8287,,,,
"Jan 1985",,,,,,,,9.7036,,,3.1706,,,,,7.8110,,,,
"Feb 1985",,,,,,,,10.0933,,,3.3025,,,,,7.8017,,,,
"Mar 1985",,,,,,,,10.0776,,,3.2982,,,,,7.8009,,,,
"Apr 1985",,,,,,,,9.4427,,,3.0946,,,,,7.7902,,,,
"May 1985",,,,,,,,9.4828,,,3.1093,,,,,7.7765,,,,
"Jun 1985",,,,,,,,9.3413,,,3.0636,,,,,7.7698,,,,
"Jul 1985",,,,,,,,8.8514,,,2.9084,,,,,7.7527,,,,
"Aug 1985",,,,,,,,8.5322,,,2.7936,,,,,7.7905,,,,
"Sep 1985",,,,,,,,8.6601,,,2.8382,,,,,7.8045,,,,
"Oct 1985",,,,,,,,8.0641,,,2.6446,,,,,7.7908,,,,
"Nov 1985",,,,,,,,7.9095,,,2.5954,,,,,7.8042,,,,
"Dec 1985",,,,,,,,7.6848,,,2.5122,,,,,7.8063,,,,
"Jan 1986",,,,,,,,7.4822,,,2.4385,,,,,7.8081,,,,
"Feb 1986",,,,,,,,7.1575,,,2.3317,,,,,7.8042,,,,
"Mar 1986",,,,,,,,6.9965,,,2.2752,,,,,7.8127,,,,
"Apr 1986",,,,,,,,7.2062,,,2.2733,,,,,7.7959,,,,
"May 1986",,,,,,,,7.0968,,,2.2277,,,,,7.8081,,,,
"Jun 1986",,,,,,,,7.1208,,,2.2336,,,,,7.8107,,,,
"Jul 1986",,,,,,,,6.9324,,,2.1517,,,,,7.8124,,,,
"Aug 1986",,,,,,,,6.7215,,,2.0621,,,,,7.8003,,,,
"Sep 1986",,,,,,,,6.6835,,,2.0415,,,,,7.8027,,,,
"Oct 1986",,,,,,,,6.5627,,,2.0054,,,,,7.7998,,,,
"Nov 1986",,,,,,,,6.6205,,,2.0243,,,,,7.7972,,,,
"Dec 1986",,,,,,,,6.5295,,,1.9880,,,,,7.7930,,,,
"Jan 1987",,,,,,,,6.2008,,,1.8596,,,,,7.7698,,,,
"Feb 1987",,,,,,,,6.0761,,,1.8239,,,,,7.7952,,,,
"Mar 1987",,,,,,,,6.1091,,,1.8355,,,,,7.8017,,,,
"Apr 1987",,,,,,,,6.0318,,,1.8119,,,,,7.8024,,,,
"May 1987",,,,,,,,5.9748,,,1.7882,,,,,7.8049,,,,
"Jun 1987",,,,,,,,6.0739,,,1.8189,,,,,7.8080,,,,
"Jul 1987",,,,,,,,6.1530,,,1.8482,,,,,7.8091,,,,
"Aug 1987",,,,,,,,6.1934,,,1.8553,,,,,7.8092,,,,
"Sep 1987",,,,,,,,6.0555,,,1.8134,,,,,7.8035,,,,
"Oct 1987",,,,,,,,6.0161,,,1.8006,,,,,7.8078,,,,
"Nov 1987",,,,,,,,5.7099,,,1.6821,,,,,7.7967,,,,
"Dec 1987",,,,,,,,5.5375,,,1.6335,,,,,7.7726,,,,
"Jan 1988",,,,,,,,5.5809,,,1.6537,,,,,7.7873,,,,
"Feb 1988",,,,,,,,5.7323,,,1.6965,,,,,7.7978,,,,
"Mar 1988",,,,,,,,5.6893,,,1.6770,,,,,7.8028,,,,
"Apr 1988",,,,,,,,5.6704,,,1.6710,,,,,7.8166,,,,
"May 1988",,,,,,,,5.7349,,,1.6935,,,,,7.8156,,,,
"Jun 1988",,,,,,,,5.9310,,,1.7579,,,,,7.8073,,,,
"Jul 1988",,,,,,,,6.2240,,,1.8465,,,,,7.8134,,,,
"Aug 1988",,,,,,,,6.3918,,,1.8880,,,,,7.8049,,,,
"Sep 1988",,,,,,,,6.3516,,,1.8669,,,,,7.8107,,,,
"Oct 1988",,,,,,,,6.1976,,,1.8165,,,,,7.8133,,,,
"Nov 1988",,,,,,,,5.9747,,,1.7491,,,,,7.8096,,,,
"Dec 1988",,,,,,,,5.9994,,,1.7563,,,,,7.8062,,,,
"Jan 1989",,,,,,,,6.2538,,,1.8356,,,,,7.8047,,,,
"Feb 1989",,,,,,,,6.3003,,,1.8504,,,,,7.8009,,,,
"Mar 1989",,,,,,,,6.3320,,,1.8686,,,,,7.7969,,,,
"Apr 1989",,,,,,,,6.3224,,,1.8698,,,,,7.7829,,,,
"May 1989",,,,,,,,6.5814,,,1.9461,,,,,7.7799,,,,
"Jun 1989",,,,,,,,6.7135,,,1.9789,,,,,7.7934,,,,
"Jul 1989",,,,,,,,6.4104,,,1.8901,,,,,7.8039,,,,
"Aug 1989",,,,,,,,6.5084,,,1.9268,,,,,7.8077,,,,
"Sep 1989",,,,,,,,6.5855,,,1.9501,,,,,7.8078,,,,
"Oct 1989",,,,,,,,6.3338,,,1.8662,,,,,7.8081,,,,
"Nov 1989",,,,,,,,6.2226,,,1.8300,,,,,7.8141,,,,
"Dec 1989",,,,,,,,5.9391,,,1.7378,,,,,7.8102,,,,
"Jan 1990",,,,,,,,5.7568,,,1.6914,,,,,7.8116,,,,
"Feb 1990",,,,,,,,5.6896,,,1.6758,,,,,7.8103,,,,
"Mar 1990",,,,,,,,5.7555,,,1.7053,,,,,7.8129,,,,
"Apr 1990",,,,,,,,5.6637,,,1.6863,,,,,7.7965,,,,
"May 1990",,,,,,,,5.5989,,,1.6630,,,,,7.7878,,,,
"Jun 1990",,,,,,,,5.6613,,,1.6832,,,,,7.7855,,,,
"Jul 1990",,,,,,,,5.4924,,,1.6375,,,,,7.7704,,,,
"Aug 1990",,,,,,,,5.2680,,,1.5702,,,,,7.7707,,,,
"Sep 1990",,,,,,,,5.2576,,,1.5701,,,,,7.7648,,,,
"Oct 1990",,,,,,,,5.1031,,,1.5238,,,,,7.7722,,,,
"Nov 1990",,,,,,,,5.0020,,,1.4857,,,,,7.7951,,,,
"Dec 1990",,,,,,,,5.0895,,,1.4982,,,,,7.8033,,,,
"Jan 1991",1.7001,,,,,,3.6416,5.1225,,,1.5081,,,,,7.7963,,,,
"Feb 1991",1.6682,,,,,,3.5918,5.0389,,,1.4805,,,,,7.7939,,,,
"Mar 1991",1.8122,,,,,,3.8330,5.4850,,,1.6120,,,,,7.7921,,,,
"Apr 1991",1.9179,,,,,,3.9909,5.7525,,,1.7022,,,,,7.7931,,,,
"May 1991",1.9353,,,,,,4.0383,5.8255,,,1.7184,,,,,7.7783,,,,
"Jun 1991",2.0081,,,,,,4.2230,6.0478,,,1.7824,,,,,7.7335,,,,
"Jul 1991",2.0115,,,,,,4.2860,6.0658,,,1.7871,,,,,7.7609,,,,
"Aug 1991",1.9659,,,,,,4.2363,5.9243,,,1.7433,,,,,7.7642,,,,
"Sep 1991",1.9072,,,,,,4.1295,5.7609,,,1.6924,,,,,7.7516,,,,
"Oct 1991",1.9030,,,,,,4.1175,5.7576,,,1.6889,,,,,7.7529,,,,
"Nov 1991",1.8261,,,,,,4.2043,5.5375,,,1.6202,,0.00275677,,,7.7588,,,,
"Dec 1991",1.7638,,,,,,4.2487,5.3399,,,1.5624,,0.00276787,,,7.7732,,,,
"Jan 1992",1.7792,,,,,,4.2888,5.3876,,,1.5795,,0.00281873,,,7.7597,,,,
"Feb 1992",1.8216,,,,,,4.4261,5.5094,,,1.6185,,0.00282144,,,7.7563,,,,
"Mar 1992",1.8701,,,,,,4.5273,5.6399,,,1.6612,,0.00289777,,,7.7455,,,,
"Apr 1992",1.8552,,,,,,4.4977,5.5766,,,1.6490,,0.00294963,,,7.7405,,,,
"May 1992",1.8272,,,,,,4.4103,5.4533,,,1.6219,,0.00296182,,,7.7419,,,,
"Jun 1992",1.7716,,,,,,4.2843,5.2934,,,1.5722,,0.00293026,,,7.7339,,,,
"Jul 1992",1.6800,,,,,,4.0696,5.0308,,,1.4909,,0.00283375,,,7.7338,,,,
"Aug 1992",1.6300,,,,,,3.9816,4.9104,,,1.4473,,0.00291226,,,7.7314,,,,
"Sep 1992",1.6339,,,,,,4.4374,4.9359,,,1.4508,,0.00289096,,,7.7282,,,,
"Oct 1992",1.6702,,,,,,4.7029,5.0333,,,1.4843,,0.00290117,,,7.7313,,,,
"Nov 1992",1.7862,,,,,,5.0428,5.3724,,,1.5877,,0.00297973,,,7.7321,,,,
"Dec 1992",1.7773,,,,,,5.1288,5.3958,,,1.5818,,0.00298509,,,7.7407,,,,
"Jan 1993",1.8155,,,,0.82402,,5.4174,5.4738,,,1.6143,,0.00303486,215.92,,7.7368,,,29.036,
"Feb 1993",1.8481,,,,0.84449,,5.8365,5.5616,,,1.6419,,0.00303122,220.58,,7.7337,,,30.038,
"Mar 1993",1.8504,,,,0.84867,,5.9737,5.5929,,,1.6460,,0.00302539,223.53,,7.7336,,,31.934,
"Apr 1993",1.7933,,,,0.81987,,5.6039,5.3974,,,1.5961,,0.00292448,217.87,,7.7306,,,31.606,
"May 1993",1.7998,,,,0.82189,,5.4754,5.4133,,,1.6059,,0.00272423,218.09,,7.7274,,,31.608,
"Jun 1993",1.8555,,,,0.84611,,5.5556,5.5672,,,1.6543,,0.00268680,225.39,,7.7351,,,31.661,
"Jul 1993",1.9292,,,,0.88178,,5.7703,5.8403,,,1.7147,,0.00254757,234.74,,7.7557,,,31.597,
"Aug 1993",1.9052,,,,0.88844,,5.8261,5.9297,,,1.6941,,0.00264127,237.59,,7.7509,,,31.607,
"Sep 1993",1.8201,,,,0.85307,,5.7847,5.6680,,,1.6204,,0.00281594,232.51,,7.7392,,,31.570,
"Oct 1993",1.8434,,,,0.86317,,5.7546,5.7528,,,1.6400,,0.00274449,237.90,,7.7309,,,31.501,
"Nov 1993",1.9080,,,,0.88624,,5.8095,5.9063,,,1.7005,,0.00267369,243.38,,7.7276,,,31.427,
"Dec 1993",1.9165,,,,0.88588,,5.7534,5.8465,,,1.7102,,0.00260101,245.46,,7.7237,,,31.434,
"Jan 1994",1.9514,,,,0.89792,,5.6898,5.9214,,,1.7431,,0.00258178,250.28,,7.7234,,,31.438,
"Feb 1994",1.9453,,,,0.89442,,5.5833,5.8937,,,1.7350,,0.00261594,250.44,,7.7349,,,31.444,
"Mar 1994",1.9002,,,,0.87599,,5.5293,5.7639,,,1.6906,,0.00260149,246.69,,7.7278,,,31.412,
"Apr 1994",1.9071,,,,0.87851,,5.4899,5.8160,,,1.6984,,0.00263558,249.04,,7.7278,,,31.387,
"May 1994",1.8583,,,,0.85960,,5.4157,5.6695,,,1.6557,,0.00261969,245.37,,7.7275,,,31.371,
"Jun 1994",1.8245,,,,0.84612,,5.4206,5.5601,,,1.6269,,0.00258999,244.80,,7.7304,,,31.388,
"Jul 1994",1.7590,,,,0.81959,,5.1944,5.3742,,,1.5687,,0.00259061,236.87,,7.7274,,,31.370,
"Aug 1994",1.7565,,,,0.82047,,5.1374,5.3585,,,1.5642,,0.00262640,237.06,,7.7281,,,31.366,
"Sep 1994",1.7363,,,,0.81165,,4.9574,5.2966,,,1.5485,,0.00255032,235.93,,7.7278,,,31.365,
"Oct 1994",1.7022,,,,0.79631,,4.6719,5.2012,,,1.5194,,0.00256279,233.01,,7.7278,,,31.367,
"Nov 1994",1.7267,,,,0.80815,,4.7246,5.2877,,,1.5402,,0.00259915,237.34,,7.7309,,,31.389,
"Dec 1994",1.7592,,,,0.82455,,4.8471,5.4124,,,1.5714,,0.00263251,242.91,,7.7386,,,31.383,
"Jan 1995",1.7153,,,,0.80773,,4.7360,5.2915,,,1.5298,,0.00263756,238.16,,7.7442,,,31.367,
"Feb 1995",1.6822,,,,0.79897,,4.6393,5.2203,,,1.5005,,0.00265261,236.13,,7.7311,,,31.374,
"Mar 1995",1.5761,,,,0.76784,,4.3807,4.9749,,,1.4058,,0.00261511,228.48,,7.7335,,,31.579,
"Apr 1995",1.5463,,,,0.75293,,4.2713,4.8480,,,1.3810,,0.00255244,225.08,,7.7343,,,31.392,
"May 1995",1.5760,,,,0.76504,,4.3146,4.9817,,,1.4087,,0.00259158,228.43,,7.7342,,,31.413,
"Jun 1995",1.5670,,,,0.75840,,4.2947,4.9170,,,1.4008,,0.00257629,226.51,,7.7349,,,31.397,
"Jul 1995",1.5548,,,,0.74954,,4.2459,4.8305,,,1.3881,,0.00258601,225.41,,7.7388,,,31.379,
"Aug 1995",1.6187,,,,0.77263,,4.3031,4.9719,,,1.4454,,0.00260393,232.35,,7.7410,,,31.588,
"Sep 1995",1.6351,,,,0.78226,,4.3656,5.0347,,,1.4598,,0.00260708,235.61,,7.7364,,,33.305,
"Oct 1995",1.5838,,,,0.77001,,4.2699,4.9355,,,1.4142,,0.00260636,232.59,,7.7336,,,34.648,
"Nov 1995",1.5870,,3.3992,,0.77142,,4.2406,4.8856,,,1.4169,,0.00259197,234.04,,7.7339,133.33,64.699,34.706,2289.9
"Dec 1995",1.6123,,3.3925,,0.78391,,4.3316,4.9556,,,1.4403,,0.00257815,238.01,,7.7341,136.15,65.419,34.960,2302.0
"Jan 1996",1.6376,,3.3893,,0.79313,,4.4459,5.0086,,,1.4626,,0.00250259,240.72,,7.7335,139.02,66.206,35.806,2306.7
"Feb 1996",1.6388,,3.3900,,0.79844,,4.5527,5.0405,,,1.4658,,0.00246961,242.28,,7.7319,141.41,66.276,36.524,2318.0
"Mar 1996",1.6535,,3.3935,,0.79706,,4.5981,5.0578,,,1.4775,,0.00252073,241.60,,7.7318,142.71,66.331,34.318,2325.6
"Apr 1996",1.6811,,3.4007,,0.80390,,4.7218,5.1043,,,1.5039,,0.00254159,241.94,,7.7338,145.58,66.848,34.208,2331.1
"May 1996",1.7135,,3.3986,,0.81455,,4.7618,5.1841,,,1.5322,,0.00254890,243.00,,7.7360,148.25,67.346,34.905,2328.0
"Jun 1996",1.7114,,3.3958,,0.80721,,4.6653,5.1783,,,1.5280,,0.00259299,241.49,,7.7399,149.59,67.054,34.722,2328.8
"Jul 1996",1.6846,,3.3944,,0.79565,,4.5803,5.0900,,,1.5033,,0.00260540,237.73,,7.7370,149.69,66.551,35.246,2332.9
"Aug 1996",1.6628,,3.3930,,0.78775,,4.4747,5.0635,,,1.4826,,0.00258068,236.80,,7.7332,150.57,66.112,35.426,2339.9
"Sep 1996",1.6902,,3.3944,,0.79497,,4.5380,5.1305,,,1.5077,,0.00261083,239.68,,7.7320,153.22,66.625,35.487,2325.0
"Oct 1996",1.7138,,3.3945,,0.79734,,4.5671,5.1643,,,1.5276,,0.00262401,239.68,,7.7317,155.57,66.869,35.483,2324.9
"Nov 1996",1.6964,2.7001,3.3940,,0.78712,1.3714,4.5520,5.1185,,,1.5126,,0.00264692,238.70,,7.7316,155.99,66.072,35.589,2337.4
"Dec 1996",1.7407,2.6999,3.3943,,0.80408,1.3790,4.6351,5.2409,,,1.5518,,0.00270982,245.40,,7.7352,160.49,66.860,35.753,2353.9
"Jan 1997",1.8031,2.7001,3.3943,,0.82656,1.3943,4.7722,5.4172,,,1.6057,,0.00281680,251.47,,7.7392,166.22,68.079,35.810,2367.9
