http://fx.sauder.ubc.ca/data.html
"PACIFIC Exchange Rate Service"
"MMM YYYY","TWD/USD","THB/USD","TTD/USD","TND/USD","TRY/USD","AED/USD","UYU/USD","VEF/USD","VND/USD","ZMW/USD","ZMK/USD"
"Apr 1987",33.826,,,,,,,,,,
"May 1987",32.354,,,,,,,,,,
"Jun 1987",31.226,,,,,,,,,,
"Jul 1987",31.114,,,,,,,,,,
"Aug 1987",30.290,,,,,,,,,,
"Sep 1987",30.151,,,,,,,,,,
"Oct 1987",30.037,,,,,,,,,,
"Nov 1987",29.813,,,,,,,,,,
"Dec 1987",28.959,,,,,,,,,,
"Jan 1988",28.628,,,,,,,,,,
"Feb 1988",28.665,,,,,,,,,,
"Mar 1988",28.687,,,,,,,,,,
"Apr 1988",28.696,,,,,,,,,,
"May 1988",28.666,,,,,,,,,,
"Jun 1988",28.723,,,,,,,,,,
"Jul 1988",28.725,,,,,,,,,,
